PDB_ID,Chain,CATH,N,Fmax_[e/A],Dmax_[A],Lmax_[A],lambda
2ysx,A,3.30.505.10,119,0.85,107.03,78.5,0.16
2dm0,A,3.30.505.10,125,0.86,324.26,291.25,0.66
1bfi,A,3.30.505.10,111,1.1,311.61,312,0.73
2aob,A,3.30.505.10,96,0.96,255.59,228.5,0.67
1bhf,A,3.30.505.10,105,1.21,180.41,181.5,0.43
1fyr,A,3.30.505.10,95,0.94,245.83,210.5,0.64
1rja,A,3.30.505.10,100,1.24,271.17,268,0.7
1o4k,A,3.30.505.10,106,1.24,280.26,277,0.69
2h46,E,3.30.505.10,98,1.08,260.07,221.25,0.65
1blk,A,3.30.505.10,114,0.94,287.24,265.25,0.64
1spr,A,3.30.505.10,103,1.33,267.46,268.25,0.68
3hck,A,3.30.505.10,107,0.86,233.6,228.5,0.56
1d4w,A,3.30.505.10,104,0.96,89.03,89,0.2
1lum,A,3.30.505.10,108,1.64,286.25,290,0.69
2h5k,A,3.30.505.10,96,0.83,218.53,174.75,0.53
2pnb,A,3.30.505.10,104,0.94,248.24,246.25,0.62
2iug,A,3.30.505.10,110,1.07,72.75,63.75,0.13
1fhs,A,3.30.505.10,112,0.87,324.66,326.25,0.76
2eu0,A,3.30.505.10,108,1.42,282.98,287.75,0.68
2ple,A,3.30.505.10,105,1.07,286.92,283,0.71
1shb,A,3.30.505.10,103,1.07,258.71,261.25,0.65
2abl,A,3.30.505.10,163,1.08,494.25,476.75,0.79
1a1b,A,3.30.505.10,105,1.06,177.17,176.25,0.42
2huw,A,3.30.505.10,101,1.06,96.08,95,0.22
1cwe,A,3.30.505.10,98,1.2,250.61,253.5,0.67
1o42,A,3.30.505.10,106,1.07,274.84,269.5,0.67
1a09,A,3.30.505.10,106,1.19,185.16,181.75,0.43
1csz,A,3.30.505.10,112,1.01,312.14,292.5,0.72
1a07,A,3.30.505.10,105,1.21,271.85,271.5,0.67
1ka6,A,3.30.505.10,107,0.96,94.69,85.5,0.19
1csy,A,3.30.505.10,112,1.19,311.76,289.5,0.71
1o48,A,3.30.505.10,106,1.1,35.08,33,0.04
1lkl,A,3.30.505.10,104,1.1,262.75,263.5,0.66
1blj,A,3.30.505.10,114,0.99,87.92,76.25,0.15
1lcj,A,3.30.505.10,104,1.1,177.38,175.5,0.43
1lck,A,3.30.505.10,164,1.14,442.68,433.5,0.7
1r1p,A,3.30.505.10,95,1.14,75.09,76,0.18
1o46,A,3.30.505.10,106,1.29,279.67,277,0.69
1ab2,A,3.30.505.10,109,0.91,276.63,266.5,0.65
1a1e,A,3.30.505.10,104,1.29,270.97,274,0.68
1x0n,A,3.30.505.10,100,0.8,132.32,120,0.31
1o4o,A,3.30.505.10,106,1.15,276.83,272,0.68
1o41,A,3.30.505.10,106,1.15,275.94,271.5,0.68
1o43,A,3.30.505.10,106,1.07,36.06,32.75,0.04
1r1s,A,3.30.505.10,96,1.05,77.39,70.25,0.17
1o4r,A,3.30.505.10,105,1.16,177.35,172,0.42
1o4q,A,3.30.505.10,106,1.29,278.12,276.5,0.68
2pna,A,3.30.505.10,104,0.9,244.46,244,0.61
1cwd,L,3.30.505.10,98,1.04,154.86,159.5,0.4
1o44,A,3.30.505.10,106,1.12,156.45,151.25,0.36
1o4e,A,3.30.505.10,106,1.27,280.73,277,0.69
1jyu,A,3.30.505.10,96,0.76,211.08,166.75,0.51
1fbz,A,3.30.505.10,104,1.31,179.41,183.5,0.44
1sha,A,3.30.505.10,103,1.15,264.63,266.25,0.67
1tce,A,3.30.505.10,107,1.31,300.08,308.5,0.74
1aot,F,3.30.505.10,106,1.15,272.29,272.75,0.67
1cj1,A,3.30.505.10,96,0.98,155.44,154.25,0.41
1o47,A,3.30.505.10,106,1.16,158,153.25,0.36
1mil,A,3.30.505.10,104,1.17,287.1,289.75,0.72
1m27,A,3.30.505.10,104,1.03,68.1,65.5,0.14
1d1z,A,3.30.505.10,101,1.15,270.76,276,0.7
1o45,A,3.30.505.10,106,1.13,34.85,32.5,0.04
1pic,A,3.30.505.10,112,0.93,312.7,306.75,0.73
1ayc,A,3.30.505.10,100,1.15,172.49,181.5,0.44
1lui,A,3.30.505.10,108,1.95,287.8,300.75,0.69
1luk,A,3.30.505.10,108,2,289.42,298.25,0.7
1o4p,A,3.30.505.10,105,1.17,270.42,266.75,0.67
1skj,A,3.30.505.10,102,1.16,257.8,262,0.66
1mw4,A,3.30.505.10,120,1.13,343.75,322.25,0.74
1ayd,A,3.30.505.10,101,1.29,277.46,286.25,0.72
1ayb,A,3.30.505.10,100,1.04,267.41,271.75,0.7
1o4l,A,3.30.505.10,105,1.17,270.72,266.75,0.67
1jyr,A,3.30.505.10,96,1.16,254.28,255.25,0.69
1o4m,A,3.30.505.10,105,1.17,270.21,266.75,0.67
1o4d,A,3.30.505.10,105,1.15,177.09,172,0.42
1jyq,A,3.30.505.10,96,1.03,160.62,160,0.42
1a1a,A,3.30.505.10,106,1.27,278.59,276.5,0.68
2pld,A,3.30.505.10,105,1.36,298.49,288.5,0.74
1o49,A,3.30.505.10,106,1.31,279.9,277,0.68
2i9y,A,3.30.530.20,157,1.63,436.78,412,0.71
1jss,A,3.30.530.20,199,2.14,611.87,606.5,0.8
1ln1,A,3.30.530.20,203,1.7,130.91,123.5,0.14
1fm4,A,3.30.530.20,159,1.62,83.75,64.75,0.07
1xn5,A,3.30.530.20,138,1.44,52.7,35,0.03
1qmr,A,3.30.530.20,159,1.64,286.73,271.5,0.44
1h2o,A,3.30.530.20,159,1.31,259.15,236,0.39
1txc,A,3.30.530.20,157,1.3,147.01,124.5,0.19
1llt,A,3.30.530.20,159,1.48,279.51,258,0.42
1icx,A,3.30.530.20,155,1.5,77.81,59.5,0.07
1ln3,A,3.30.530.20,197,1.59,96.39,90.5,0.09
2bk0,A,3.30.530.20,153,1.43,53.14,33.75,0.02
2qim,A,3.30.530.20,157,1.4,74.54,52.5,0.06
1e09,A,3.30.530.20,159,1.39,275.69,257.25,0.42
1t17,A,3.30.530.20,148,1.43,422.81,402.5,0.74
1b6f,A,3.30.530.20,159,1.46,476.82,444,0.77
1xdf,A,3.30.530.20,157,1.44,394.25,375,0.64
1ifv,A,3.30.530.20,155,1.72,434.77,421.25,0.72
1tw0,A,3.30.530.20,157,1.21,76.56,51.25,0.06
1btv,A,3.30.530.20,159,1.35,97.79,74.75,0.1
1xn6,A,3.30.530.20,143,1.29,65.69,42.25,0.04
1tke,A,3.30.54.20,224,1.96,204.59,199.75,0.21
1tkg,A,3.30.54.20,224,1.91,204.91,199.5,0.21
1tky,A,3.30.54.20,224,1.9,205.46,199.25,0.21
1tje,A,3.30.54.20,224,2,204.71,200.5,0.21
2fvz,A,3.30.540.10,244,2.55,301.03,301,0.3
2cla,A,3.30.559.10,213,1.77,146.07,144.25,0.15
1scz,A,3.30.559.10,233,1.96,178.22,145.25,0.14
4cla,A,3.30.559.10,213,1.84,413.74,412,0.49
1q23,A,3.30.559.10,214,1.67,152.67,148.5,0.16
1eaf,A,3.30.559.10,243,1.78,199.43,176.5,0.17
1eae,A,3.30.559.10,243,1.62,198,174,0.17
1dpd,A,3.30.559.10,243,1.77,199.54,177,0.17
1eac,A,3.30.559.10,243,1.66,198.99,176.75,0.17
1cia,A,3.30.559.10,213,1.77,146.47,144.5,0.15
1eab,A,3.30.559.10,243,1.79,201.01,178.25,0.17
1cla,A,3.30.559.10,213,1.8,145.1,145,0.15
3cla,A,3.30.559.10,213,1.75,144.74,143.25,0.15
1eaa,A,3.30.559.10,243,1.78,199.27,177.5,0.17
1ead,A,3.30.559.10,243,1.58,200.36,174.5,0.17
1dpc,A,3.30.559.10,243,1.74,200.15,177.5,0.17
1kvn,A,3.30.56.30,104,1.29,88.13,59.5,0.12
1kvv,A,3.30.56.30,104,1.37,91.03,66,0.13
1nd9,A,3.30.56.50,49,1.07,66.5,57.75,0.27
2hg7,A,3.30.56.60,60,0.64,86.44,75,0.32
1byq,A,3.30.565.10,213,1.73,390.12,380.5,0.46
1i58,A,3.30.565.10,189,2.15,263.86,283.75,0.36
2akp,A,3.30.565.10,184,1.3,39.61,38.75,0.03
1uye,A,3.30.565.10,208,1.34,299.71,288,0.35
1yer,A,3.30.565.10,207,1.6,363,354,0.44
1thn,A,3.30.565.10,136,1.17,248.06,249.75,0.47
2bre,A,3.30.565.10,213,1.6,397.97,396.75,0.47
2byi,A,3.30.565.10,215,1.56,396.16,382.25,0.46
2brc,A,3.30.565.10,214,1.72,189.9,168.5,0.19
1uyc,A,3.30.565.10,209,1.42,337.1,309.75,0.4
2vcj,A,3.30.565.10,209,1.6,442.92,385.25,0.54
2ccu,A,3.30.565.10,209,1.44,400.45,362.25,0.48
1yc3,A,3.30.565.10,214,1.64,206.3,194.25,0.22
1uyd,A,3.30.565.10,208,1.52,366.94,355.5,0.44
2iwu,A,3.30.565.10,214,1.57,389.01,369.5,0.45
1uy8,A,3.30.565.10,208,1.5,365.93,355,0.44
1yc4,A,3.30.565.10,210,1.67,373.88,364.75,0.45
1uy7,A,3.30.565.10,209,1.59,402.1,378,0.49
1uym,A,3.30.565.10,211,1.59,413.89,391.5,0.5
1til,A,3.30.565.10,141,1.43,97.13,101.25,0.16
1ah8,A,3.30.565.10,215,1.68,290.79,260.75,0.31
1a4h,A,3.30.565.10,214,1.58,284.96,265.75,0.32
1uyl,A,3.30.565.10,208,1.51,332.88,293.25,0.4
1osf,A,3.30.565.10,215,1.48,293.56,280.5,0.33
1amw,A,3.30.565.10,213,1.59,283.64,261.75,0.31
1bgq,A,3.30.565.10,214,1.66,184.19,165.5,0.19
1i5d,A,3.30.565.10,190,1.91,151.32,165.5,0.19
2uwd,A,3.30.565.10,208,1.7,366.99,362,0.44
2ccs,A,3.30.565.10,209,1.59,402.69,366,0.49
2byh,A,3.30.565.10,215,1.56,396.17,382.25,0.46
1yet,A,3.30.565.10,213,1.55,285.9,276.5,0.33
2cdd,A,3.30.565.10,209,1.75,400.02,397.75,0.48
1uyg,A,3.30.565.10,209,1.49,401.37,375.5,0.49
1am1,A,3.30.565.10,213,1.54,180.87,159.75,0.18
1ah6,A,3.30.565.10,213,1.63,181.35,162.75,0.18
2bt0,A,3.30.565.10,209,1.71,397.39,400.75,0.48
1s14,A,3.30.565.10,168,1.46,176.85,169.25,0.27
1uyi,A,3.30.565.10,209,1.48,402.68,375.25,0.49
1uy9,A,3.30.565.10,209,1.48,402.38,375.25,0.49
2bz5,A,3.30.565.10,210,1.54,185.22,171.25,0.2
1bxd,A,3.30.565.10,161,1.36,310.28,268.25,0.46
1uyh,A,3.30.565.10,209,1.48,402.68,375.25,0.49
1us7,A,3.30.565.10,207,1.56,301.2,246,0.36
2bsm,A,3.30.565.10,209,1.54,382,366.25,0.46
1uy6,A,3.30.565.10,208,1.49,397.12,375.5,0.48
1l0o,A,3.30.565.10,141,1.44,95.64,97.75,0.15
1uyf,A,3.30.565.10,208,1.45,254.91,245,0.29
1yes,A,3.30.565.10,213,1.53,384.18,368.5,0.45
2cct,A,3.30.565.10,209,1.37,400.05,360.75,0.48
2ftk,A,3.30.565.30,181,1.46,349.82,332.75,0.48
1f51,A,3.30.565.30,181,1.71,316.59,306.5,0.43
1b5d,A,3.30.572.10,246,1.49,421.47,398.75,0.42
1b5e,A,3.30.572.10,241,1.57,134.1,113,0.11
1b49,A,3.30.572.10,241,1.46,403.76,383,0.41
1hev,A,3.30.60.10,43,1.47,30.71,31.5,0.06
1ulm,A,3.30.60.10,82,1.79,81.87,69.5,0.16
2cwg,A,3.30.60.10,170,2.51,197.33,207.5,0.28
1wkx,A,3.30.60.10,43,1.7,29.87,33.5,0.04
1k7u,A,3.30.60.10,170,2.21,185.45,192.25,0.26
1k7t,A,3.30.60.10,170,2.36,199.38,207.5,0.28
9wga,A,3.30.60.10,170,2.07,188.8,193.5,0.26
2uwz,A,3.30.60.10,170,1.15,484.5,472.75,0.74
1p9z,A,3.30.60.10,40,1.96,31.57,42,0.09
1wgc,A,3.30.60.10,170,2.25,197.75,207,0.28
1wgt,A,3.30.60.10,170,2.27,177.64,183.25,0.24
1ulk,A,3.30.60.10,126,1.67,121.7,103.25,0.18
1uha,A,3.30.60.10,82,1.62,75.23,60.75,0.14
1k7v,A,3.30.60.10,170,2.15,196.71,202.25,0.28
1uln,A,3.30.60.10,82,1.74,75.41,61.25,0.14
2wgc,A,3.30.60.10,170,2.26,197.19,203.75,0.28
7wga,A,3.30.60.10,170,2.2,197.08,203.75,0.28
1ptq,A,3.30.60.20,50,1.07,79.03,87.5,0.41
1ptr,A,3.30.60.20,50,1.07,75.09,88.5,0.39
1kbe,A,3.30.60.20,49,0.69,73.25,68.25,0.34
1kbf,A,3.30.60.20,49,0.72,78.04,70.25,0.37
1faq,A,3.30.60.20,52,0.89,108.35,114,0.54
1tbn,A,3.30.60.20,66,0.97,129.51,103.25,0.44
1far,A,3.30.60.20,52,0.71,105.75,103.25,0.52
1tbo,A,3.30.60.20,66,1.06,131.49,118,0.47
2bus,A,3.30.60.30,56,0.21,30.04,3.75,0.03
1pce,A,3.30.60.30,60,0.21,18.27,4.25,0.01
1pju,A,3.30.60.30,115,1.04,31.27,28.5,0.03
1ytp,A,3.30.60.30,53,0.14,18.38,3.25,0
1y1b,A,3.30.60.30,48,0.22,22.46,1.25,0.01
1uvg,A,3.30.60.30,76,0.12,42.83,1.25,0
1kma,A,3.30.60.30,55,0,31.37,0,0
1m8b,A,3.30.60.30,56,0.15,15.54,1.25,0
3ovo,A,3.30.60.30,56,0.16,18.67,4.25,0
1bmo,A,3.30.60.30,233,2.17,192.66,195.5,0.19
2gkt,I,3.30.60.30,51,0.21,18.74,4.25,0.01
1lr8,A,3.30.60.30,73,1.48,54.27,32.25,0.03
1lr7,A,3.30.60.30,73,1.54,54.05,33.5,0.03
1y1c,A,3.30.60.30,48,0,24.9,0,0
1tih,A,3.30.60.30,53,0,22.5,0,0
1iy5,A,3.30.60.30,54,0.2,20.56,3.25,0.01
1ds3,I,3.30.60.30,50,0.17,19.28,4.5,0.02
2gkr,I,3.30.60.30,51,0.17,16.98,4,0
1tus,A,3.30.60.30,56,0.23,20.47,2.5,0
1uvf,A,3.30.60.30,59,0.26,20.05,4.5,0.01
1ce3,A,3.30.60.30,54,0.31,5.83,4.75,0
1lr9,A,3.30.60.30,73,1.42,53.66,29.75,0.03
1tur,A,3.30.60.30,56,0.28,21.68,2.25,0
4ovo,A,3.30.60.30,56,0.25,26.07,4.5,0.01
1ovo,A,3.30.60.30,56,0.29,24.98,1.75,0
1bus,A,3.30.60.30,56,1.21,51.45,48,0.16
1fyb,A,3.30.60.30,111,0.28,55.75,2.75,0
2ovo,A,3.30.60.30,56,0.24,20.07,3.5,0
1m8c,A,3.30.60.30,56,0.27,20.87,4.5,0
2qqd,A,3.30.60.30,45,0.42,93.29,63.75,0.45
1nub,A,3.30.60.30,226,0.28,32.61,3,0
1omt,A,3.30.60.30,56,0.64,27.14,13.25,0.02
1hpt,A,3.30.60.30,56,0.28,21.43,3.75,0
2erw,A,3.30.60.30,53,0.69,45.66,19.75,0.07
1iy6,A,3.30.60.30,54,0.28,19.47,5,0.03
1iw4,A,3.30.60.30,55,0.3,15.68,4.75,0.01
2qqc,A,3.30.60.30,46,0.59,122.65,98.25,0.65
2nef,A,3.30.62.10,136,0.83,228.5,196.5,0.4
2anb,A,3.30.63.10,206,2.43,417.06,425.75,0.52
1z6g,A,3.30.63.10,191,2.29,284.73,306.75,0.38
1znw,A,3.30.63.10,182,2.62,93.49,123.25,0.12
2anc,A,3.30.63.10,205,2.33,413.04,424.5,0.52
1z8f,A,3.30.63.10,184,1.1,27.22,34.75,0.03
1zny,A,3.30.63.10,183,0.32,10.97,3.25,0
1gky,A,3.30.63.10,186,1.95,271.1,289.75,0.38
2an9,A,3.30.63.10,205,2.5,343.08,358.5,0.42
1s4q,A,3.30.63.10,183,2.17,89.25,111,0.12
1ex7,A,3.30.63.10,186,1.94,269.3,289.75,0.38
1znx,A,3.30.63.10,182,2.54,95.1,123,0.12
1znz,A,3.30.63.10,183,2.2,329.76,350.25,0.47
1lvg,A,3.30.63.10,190,2.15,289.63,307,0.39
1ex6,A,3.30.63.10,186,2.13,270.16,293.5,0.38
1vcc,A,3.30.66.10,77,1.12,175.51,173,0.58
1kqk,A,3.30.70.100,80,1,83.48,67,0.2
1oq3,A,3.30.70.100,76,0.97,74.37,63.25,0.18
1urr,A,3.30.70.100,97,1.61,49.58,41.5,0.05
2ggp,A,3.30.70.100,73,0.79,106.88,100,0.35
1fvs,A,3.30.70.100,72,1.19,68.21,76,0.22
1oq6,A,3.30.70.100,76,1.04,67.11,54.5,0.14
2aw0,A,3.30.70.100,72,1.16,61.83,62.5,0.17
1p6t,A,3.30.70.100,151,1.32,345.54,306,0.56
1jww,A,3.30.70.100,80,0.97,87.2,85,0.25
1aps,A,3.30.70.100,98,1.88,51.73,56.25,0.08
1mwy,A,3.30.70.100,73,0.98,79.09,76.75,0.24
2ofh,X,3.30.70.100,71,1.11,62.34,60.25,0.17
1yjt,A,3.30.70.100,75,1.19,71.89,67.25,0.19
1sb6,A,3.30.70.100,64,0.88,47.54,41.25,0.14
1cc7,A,3.30.70.100,72,1.19,75.17,77.25,0.23
1afi,A,3.30.70.100,72,1.4,66.25,72.5,0.2
1osd,A,3.30.70.100,72,1.11,61.15,57,0.16
2g9o,A,3.30.70.100,77,1.11,84.01,79.75,0.24
1yjv,A,3.30.70.100,75,1.06,81.22,75.75,0.23
1s6o,A,3.30.70.100,76,0.96,75.53,78.5,0.23
1fee,A,3.30.70.100,67,1.01,103.58,110.75,0.4
1fe4,A,3.30.70.100,68,1.1,69.69,78,0.25
1p8g,A,3.30.70.100,73,0.97,65.54,68,0.21
2acy,A,3.30.70.100,98,1.71,55.97,51.25,0.07
1yju,A,3.30.70.100,75,1.27,74.42,72,0.21
1opz,A,3.30.70.100,76,0.99,69.5,59.5,0.17
1k0v,A,3.30.70.100,73,0.96,68.03,69.75,0.21
1y3k,A,3.30.70.100,77,1.12,77.89,86.5,0.24
1fd8,A,3.30.70.100,73,1.07,78.06,75.25,0.23
1qup,A,3.30.70.100,219,1.58,404.66,395.75,0.47
1cpz,A,3.30.70.100,68,0.88,50.31,51.75,0.16
1yjr,A,3.30.70.100,75,1.16,76.26,64,0.2
1kvj,A,3.30.70.100,79,1.21,85.19,76.5,0.21
1aw0,A,3.30.70.100,72,1.23,59.31,60.75,0.16
1tl5,A,3.30.70.100,68,0.78,69.38,73,0.25
1s6u,A,3.30.70.100,76,1.08,75.97,86.25,0.25
1fes,A,3.30.70.100,73,1.15,74.95,79.5,0.23
2rml,A,3.30.70.100,147,1.21,333.25,306.5,0.56
1afj,A,3.30.70.100,72,1.33,56.44,62.75,0.16
1cc8,A,3.30.70.100,72,1.36,76.21,82,0.24
1fvq,A,3.30.70.100,72,1.08,71.3,77.25,0.23
2ga7,A,3.30.70.100,77,1.02,186.3,180.25,0.62
1fe0,A,3.30.70.100,66,0.95,132.72,139.5,0.52
2gcf,A,3.30.70.100,73,0.91,69.73,59,0.18
1mwz,A,3.30.70.100,73,0.91,81.14,81.5,0.26
2hqi,A,3.30.70.100,72,1.02,100.03,100,0.33
1q8l,A,3.30.70.100,84,1.29,109.14,101.5,0.28
1tl4,A,3.30.70.100,68,1.08,68.05,82,0.25
1kvi,A,3.30.70.100,79,0.77,90.07,80.75,0.26
1yg0,A,3.30.70.100,66,0.76,42.98,36.75,0.1
1pbu,A,3.30.70.101,162,1.4,136.38,134.75,0.19
1t0t,V,3.30.70.103,243,2.02,210.71,192,0.18
1vdh,A,3.30.70.103,247,1.79,237.99,202.5,0.2
1u2c,A,3.30.70.104,228,2.79,239.23,230,0.23
1p9y,A,3.30.70.105,117,1.8,56,44.75,0.04
1uta,A,3.30.70.107,77,1.19,82.36,84.5,0.24
1t0t,V,3.30.70.110,243,2.02,210.71,192,0.18
1vdh,A,3.30.70.110,247,1.79,237.99,202.5,0.2
1q5y,A,3.30.70.115,84,1.17,91.66,98,0.26
1pil,A,3.30.70.120,112,1.39,143.35,157.75,0.33
2pii,A,3.30.70.120,112,1.39,142.86,158,0.33
1qy7,A,3.30.70.120,112,1.44,142.62,153.5,0.32
1ufl,A,3.30.70.120,108,1.37,128.77,139.25,0.3
1vfj,A,3.30.70.120,116,1.38,157.06,159.75,0.33
2jnj,A,3.30.70.122,74,0.84,103.44,65.5,0.24
1cju,A,3.30.70.123,189,2.02,71.15,49,0.03
2gvd,A,3.30.70.123,190,2.04,77.44,57.25,0.04
1cjt,A,3.30.70.123,189,2.08,73.52,53.75,0.03
1cs4,A,3.30.70.123,189,2.05,70.59,49.25,0.03
1u0h,A,3.30.70.123,189,2.14,72.28,54,0.03
1cjk,A,3.30.70.123,189,1.95,69.69,47.5,0.02
1cul,A,3.30.70.123,189,2.05,73.85,53.75,0.03
1tl7,A,3.30.70.123,189,2.11,71.28,51.25,0.03
1azs,A,3.30.70.123,190,1.92,74.53,54.25,0.04
1fx4,A,3.30.70.123,231,1.89,123.41,112.25,0.09
2gvz,A,3.30.70.123,189,1.89,69.41,47.5,0.03
1cjv,A,3.30.70.123,189,2.03,68.83,48.5,0.03
2noc,A,3.30.70.131,99,1.02,235.62,190.75,0.56
2yww,A,3.30.70.140,141,1.84,235.43,226.75,0.4
1ndc,A,3.30.70.141,150,1.68,94.37,110.25,0.15
1xiq,A,3.30.70.141,149,1.66,92.19,104.75,0.14
1f6t,A,3.30.70.141,150,1.59,101.84,114.25,0.16
1npk,A,3.30.70.141,150,1.6,95.72,108.5,0.15
1ncl,A,3.30.70.141,150,1.59,96.86,109.5,0.15
1s59,A,3.30.70.141,153,1.73,107.28,129.5,0.18
1lwx,A,3.30.70.141,150,1.5,96.12,107.75,0.15
1w7w,A,3.30.70.141,151,1.5,98.31,109.25,0.15
1jxv,A,3.30.70.141,149,1.71,95.22,107,0.15
1ndp,A,3.30.70.141,150,1.71,94.71,110,0.15
1hlw,A,3.30.70.141,150,1.52,94.51,108,0.15
1hiy,A,3.30.70.141,150,1.62,96.22,110.5,0.15
1b4s,A,3.30.70.141,150,1.54,93.44,106.75,0.15
1s57,A,3.30.70.141,153,1.77,106.84,130,0.18
1hhq,A,3.30.70.141,150,1.52,93.88,105.25,0.15
1nue,A,3.30.70.141,151,1.52,107.46,113,0.17
1nhk,L,3.30.70.141,144,1.53,75.03,76.5,0.1
1pku,A,3.30.70.141,149,1.53,92.2,106.25,0.15
1nlk,L,3.30.70.141,143,1.7,72.95,78.25,0.1
1leo,A,3.30.70.141,150,1.7,98.43,112.25,0.16
1bux,A,3.30.70.141,150,1.55,94.19,107.75,0.15
1f3f,A,3.30.70.141,150,1.54,95.81,109.5,0.15
1s5z,A,3.30.70.141,150,1.55,96.23,109.75,0.15
1mn9,A,3.30.70.141,150,1.48,92.52,105,0.15
2nck,L,3.30.70.141,144,1.5,73.5,74.5,0.1
1ndl,A,3.30.70.141,152,1.62,103.52,114.5,0.16
1ndk,A,3.30.70.141,148,1.71,90.64,104.25,0.14
1k44,A,3.30.70.141,135,1.47,89.94,98,0.15
1kdn,A,3.30.70.141,150,1.58,97.47,112.25,0.16
1a6l,A,3.30.70.20,106,1.19,80.81,76.5,0.16
1bqx,A,3.30.70.20,77,1.27,29.88,31.25,0.04
1gao,A,3.30.70.20,106,1.27,106.49,102.25,0.23
1iqz,A,3.30.70.20,81,1.14,45,42.25,0.09
1clf,A,3.30.70.20,55,0.65,15.97,16.25,0.03
1fxr,A,3.30.70.20,64,0.74,115.06,110.25,0.45
1fdn,A,3.30.70.20,55,0.64,46.97,51.5,0.21
1frh,A,3.30.70.20,106,1.19,127.72,123.75,0.28
1vjw,A,3.30.70.20,59,0.79,57.63,67.5,0.24
1b0t,A,3.30.70.20,106,1.19,127.69,123.75,0.28
1axq,A,3.30.70.20,106,1.19,127.71,124.5,0.28
2fd2,A,3.30.70.20,106,1.15,128.64,123.75,0.28
1d3w,A,3.30.70.20,106,1.39,129.88,128.5,0.29
1frx,A,3.30.70.20,106,1.16,128.46,123.75,0.28
1k0t,A,3.30.70.20,80,0.67,70.22,56.25,0.17
1fca,A,3.30.70.20,55,0.66,46.15,51.75,0.2
1ir0,A,3.30.70.20,81,1.27,43.61,44.75,0.09
1dfd,A,3.30.70.20,64,0.7,148.12,153.75,0.61
1dax,A,3.30.70.20,64,0.71,146.84,148,0.6
1bwe,A,3.30.70.20,77,1.15,33.38,32,0.05
1fri,A,3.30.70.20,106,1.18,129.3,123,0.29
1frj,A,3.30.70.20,106,1.16,126.98,122.5,0.28
1frk,A,3.30.70.20,106,1.14,68.03,63,0.12
5fd1,A,3.30.70.20,106,1.17,128.21,123.75,0.28
1bd6,A,3.30.70.20,77,1.32,37.02,39.25,0.07
1rof,A,3.30.70.20,60,0.65,14.65,17,0.04
1ff2,A,3.30.70.20,106,1.28,127.71,124.25,0.28
1h98,A,3.30.70.20,77,0.93,32.72,32.75,0.07
1siz,A,3.30.70.20,66,0.85,67.27,72.25,0.25
1dur,A,3.30.70.20,55,0.64,30.41,31.75,0.11
1fdb,A,3.30.70.20,106,1.25,33.3,29.25,0.03
1blu,A,3.30.70.20,80,1.08,51.89,48.25,0.12
1rgv,A,3.30.70.20,80,0.96,47.61,42.25,0.1
1f2g,A,3.30.70.20,58,0.13,8.22,3,0.01
1g6b,A,3.30.70.20,106,1.21,128.24,123.75,0.28
1frl,A,3.30.70.20,106,1.19,127.16,124.5,0.28
1pc5,A,3.30.70.20,106,1.23,116.78,113.75,0.25
1bc6,A,3.30.70.20,77,1.42,34.73,39.5,0.06
6fdr,A,3.30.70.20,106,1.21,79.9,75,0.15
1wtf,A,3.30.70.20,81,1.2,43.41,43.75,0.09
6fd1,A,3.30.70.20,106,1.21,127.81,124.75,0.28
1fdd,A,3.30.70.20,106,1.2,79.63,76.75,0.15
1f5c,A,3.30.70.20,106,1.23,128.26,124.5,0.28
1frm,A,3.30.70.20,106,1.2,79.43,76.75,0.15
7fd1,A,3.30.70.20,106,1.25,127.14,124.25,0.28
1f5b,A,3.30.70.20,106,1.25,114.97,112.5,0.25
7fdr,A,3.30.70.20,106,1.25,128.24,124,0.28
1pc4,A,3.30.70.20,106,1.22,127.18,123.75,0.28
1fxd,A,3.30.70.20,57,0.23,6.78,3.25,0.01
1fd2,A,3.30.70.20,106,1.21,127.47,123.75,0.28
1fda,A,3.30.70.20,106,1.24,131.8,126.5,0.29
2i0x,A,3.30.70.240,84,1.01,150.1,147,0.45
1lk7,A,3.30.70.260,229,1.81,341.75,342.25,0.37
1xtz,A,3.30.70.260,246,1.68,54.53,61.5,0.04
1lk5,A,3.30.70.260,229,1.68,388.14,385.75,0.43
1m0s,A,3.30.70.260,219,1.69,442.5,445,0.52
1nu4,A,3.30.70.330,91,1.05,118.65,114.5,0.31
1whv,A,3.30.70.330,100,0.79,295.38,260.75,0.76
1u2f,A,3.30.70.330,90,0.91,66.67,54.25,0.13
2mss,A,3.30.70.330,75,1.12,154.5,168.75,0.54
2dny,A,3.30.70.330,119,0.9,184.53,152,0.34
1opi,A,3.30.70.330,104,1.05,51.33,50.5,0.1
2hzc,A,3.30.70.330,87,1.1,92.91,96.25,0.25
1sxl,A,3.30.70.330,97,0.94,140.8,127.75,0.34
2mst,A,3.30.70.330,75,0.9,151.3,159.75,0.53
1uaw,A,3.30.70.330,77,0.9,156.54,161,0.53
2dgs,A,3.30.70.330,99,1.15,142.72,132,0.33
1p1t,A,3.30.70.330,104,0.83,154.81,154.25,0.37
1r8p,A,3.30.70.330,81,0.8,162.5,165.25,0.52
1oia,A,3.30.70.330,90,1.12,106.76,100.25,0.27
2b0g,A,3.30.70.330,83,1.14,36.28,37.5,0.07
